actual,predicted,predict_proba
A,S,0.8767128
A,S,0.6595846
A,S,0.94318867
A,S,0.93880904
A,S,0.8518425
A,S,0.7044069
A,S,0.5291999
A,S,0.80460536
A,S,0.8308187
A,S,0.82494116
A,S,0.8704289
A,S,0.7809963
A,S,0.9001088
A,A,0.525157
A,S,0.9758345
A,S,0.8643839
A,A,0.6037964
A,S,0.81559306
A,S,0.9340828
A,S,0.9431098
A,S,0.75814044
A,Q,0.9435947
A,Q,0.41091928
A,S,0.6524047
A,S,0.8946048
A,S,0.9823652
A,S,0.6262101
A,S,0.7105702
A,S,0.93780863
A,S,0.71011394
A,S,0.8086661
A,S,0.78674746
A,S,0.7604153
A,Q,0.7755013
A,S,0.64043945
A,A,0.5095572
A,S,0.5506486
A,S,0.82540995
A,S,0.8688755
A,S,0.88549954
A,A,0.47604582
A,S,0.8177351
A,S,0.8664401
A,Q,0.58204925
A,Q,0.9568051
A,Q,0.9545949
A,S,0.73127556
A,S,0.55634624
A,S,0.6271576
A,S,0.76581913
A,Q,0.993028
A,S,0.86074215
A,S,0.8466733
A,S,0.6550444
A,S,0.6450134
A,S,0.8504784
A,S,0.9262657
A,S,0.8012875
A,S,0.74667144
A,S,0.8904331
A,S,0.8959237
A,S,0.73325735
A,S,0.9076023
A,S,0.7724416
A,S,0.7188243
A,S,0.7781794
A,S,0.92766947
A,S,0.77768594
A,S,0.901939
A,S,0.8834749
A,S,0.9500271
A,S,0.5762529
A,S,0.7985906
A,S,0.9360401
A,S,0.49363336
A,S,0.9406395
A,Q,0.9943673
A,S,0.63801926
A,S,0.9406973
A,Q,0.8996493
A,Y,0.6576301
A,S,0.6389434
A,S,0.8642285
A,S,0.85122234
A,S,0.6788421
A,S,0.7240267
A,S,0.82258177
A,S,0.7823425
A,S,0.700227
A,Q,0.7723892
A,S,0.707521
A,Q,0.93707633
A,S,0.8239223
A,S,0.82828003
A,Q,0.5047086
A,S,0.62867135
A,S,0.52119327
A,S,0.7823545
A,S,0.7256663
A,S,0.95590997
A,S,0.89683825
A,S,0.85346836
A,S,0.833464
A,Y,0.7882878
A,S,0.78156257
A,Q,0.3133525
A,S,0.7139668
A,S,0.75630915
A,S,0.59777665
A,Y,0.3720127
A,A,0.5953058
A,S,0.80089676
A,S,0.69385636
A,O,0.32835463
A,A,0.8154585
A,A,0.6786441
A,A,0.50187796
A,A,0.579503
A,S,0.8792379
A,S,0.90423363
A,Q,0.99728227
A,S,0.9172257
A,A,0.5033994
A,S,0.75292426
A,S,0.523144
A,S,0.777108
A,A,0.59633774
A,S,0.8493516
A,S,0.7795206
A,S,0.8385463
A,S,0.57726806
A,Q,0.99249506
A,S,0.66719264
A,S,0.80924356
A,S,0.8387084
A,S,0.6214442
A,S,0.32546172
A,Q,0.89923584
A,Q,0.9751439
A,S,0.71954924
A,S,0.789526
A,S,0.86830133
A,Q,0.96266735
A,S,0.79566705
A,S,0.95435375
A,S,0.84416497
A,S,0.8931291
A,S,0.6743677
A,S,0.80796003
A,S,0.7246115
A,Y,0.3676454
A,S,0.7816082
A,Y,0.4208202
A,S,0.38218305
A,S,0.8978182
A,Q,0.7926295
A,S,0.6050973
A,S,0.6591618
A,Q,0.5083674
A,S,0.76754624
A,S,0.8068156
A,S,0.71350896
A,S,0.76879805
A,S,0.93631154
A,S,0.8449691
A,S,0.75795275
A,S,0.694874
A,S,0.6947198
A,S,0.84433776
A,S,0.9062649
A,S,0.6779194
A,S,0.8688071
A,S,0.86981905
A,S,0.79242593
A,S,0.8653559
A,S,0.8298867
A,A,0.83878684
A,S,0.7084778
A,S,0.842113
A,S,0.8990724
A,Q,0.98425794
A,A,0.5833603
A,Q,0.9736751
A,S,0.77460885
A,S,0.7008473
A,S,0.7022149
A,Y,0.6176853
A,S,0.5554022
A,S,0.80405354
A,S,0.56872946
A,S,0.8549752
A,S,0.60865927
A,S,0.84733987
A,A,0.7222088
A,S,0.88331
A,S,0.55541563
A,A,0.5306075
A,S,0.73021406
A,S,0.8095221
A,S,0.8852044
A,Q,0.8166834
A,S,0.85120124
A,S,0.8035307
A,S,0.61765385
A,S,0.89261276
A,S,0.8429087
A,S,0.8749201
A,S,0.80631936
A,S,0.7599332
A,S,0.98583454
A,S,0.8126525
A,S,0.8777804
A,S,0.5626391
A,S,0.6190885
A,S,0.8110966
A,Q,0.94828844
A,S,0.88362676
A,S,0.8906477
A,S,0.79685634
A,S,0.7438131
A,S,0.804596
A,A,0.6162591
A,Q,0.8992574
A,S,0.5899448
A,Q,0.73915356
A,S,0.86843115
A,S,0.7591257
A,S,0.708608
A,S,0.36247063
A,S,0.5517849
A,S,0.8623751
A,S,0.71847886
A,S,0.82580996
A,S,0.8389769
A,S,0.87053514
A,S,0.8959356
A,S,0.68612325
A,S,0.7582515
A,S,0.9370658
A,S,0.77813035
A,S,0.6850014
A,S,0.81779385
A,S,0.8900796
A,S,0.70228356
A,S,0.90012896
A,S,0.8807304
A,A,0.51909417
A,S,0.94832027
A,S,0.9532729
A,S,0.7279231
A,S,0.9490156
A,S,0.6088501
A,S,0.6583066
A,S,0.5852209
A,S,0.97527367
A,S,0.85510033
A,S,0.8055449
A,Y,0.676823
A,S,0.7607299
A,S,0.85674614
A,S,0.89082557
A,S,0.90838516
A,S,0.6736956
A,S,0.856836
A,Y,0.62378496
A,S,0.6147258
A,S,0.9480961
A,S,0.88153565
A,A,0.74351114
A,S,0.779388
A,S,0.5610252
A,S,0.97987604
A,S,0.67176735
A,S,0.52110326
A,S,0.9617935
A,S,0.72085935
A,S,0.85893154
A,S,0.4275017
A,S,0.7658064
A,S,0.7021101
A,S,0.83062935
A,S,0.82824486
A,Q,0.9998715
A,S,0.88767064
A,S,0.84931743
A,S,0.7182689
A,S,0.92442566
A,S,0.9143787
A,S,0.4659632
A,S,0.9725715
A,S,0.7979963
A,A,0.59161514
A,S,0.8426407
A,S,0.84666467
A,Q,0.8674345
A,S,0.7627467
A,S,0.82963425
A,S,0.91774565
A,Q,0.9994097
A,A,0.5669708
A,Q,0.49119008
A,S,0.67939556
A,Q,0.55763215
A,S,0.87310773
A,S,0.65844434
A,S,0.88663423
A,A,0.62782085
A,S,0.71750236
A,S,0.89082325
A,S,0.8456044
A,S,0.8925583
A,S,0.67194605
A,S,0.59521407
A,S,0.6643844
A,A,0.6782599
A,S,0.89025384
A,S,0.6881383
A,S,0.88423103
A,S,0.8776274
A,S,0.4810215
A,S,0.8376841
A,S,0.6518074
A,S,0.6286804
A,S,0.86794907
A,S,0.5205496
A,S,0.85204
A,Q,0.6913057
A,S,0.5617025
A,S,0.9176811
A,S,0.6077538
A,S,0.857822
A,S,0.5559334
A,Q,0.99405694
A,Q,0.69582194
A,S,0.5097071
A,S,0.67854375
A,S,0.581761
A,S,0.8003835
A,S,0.6329067
A,A,0.54291856
A,S,0.5957314
A,S,0.6780641
A,S,0.87955886
A,S,0.49978563
A,S,0.9727518
A,Q,0.8493081
A,S,0.8621064
A,S,0.7923564
A,Y,0.73981875
A,S,0.5235026
A,S,0.765652
A,S,0.60762
A,S,0.76270145
A,S,0.9802981
A,A,0.7443009
A,S,0.7896704
A,S,0.8805737
A,S,0.91386133
A,S,0.86838627
A,S,0.73576146
A,S,0.52374464
A,S,0.6536488
A,S,0.63180524
A,S,0.5966132
A,S,0.818837
A,S,0.6680746
A,S,0.84693044
A,S,0.75523925
A,S,0.60736364
A,A,0.51576555
A,S,0.7921386
A,S,0.9164552
A,S,0.6080402
A,S,0.7634676
A,A,0.6115326
A,S,0.56508297
A,S,0.52877724
A,S,0.8383415
A,S,0.6449338
A,S,0.75242317
A,S,0.84510636
A,S,0.6273557
A,S,0.91289765
A,S,0.89357996
A,S,0.9197137
A,A,0.789973
A,S,0.90670234
A,S,0.81643355
A,S,0.41739154
A,S,0.68597865
A,S,0.854254
A,S,0.73514456
A,S,0.618573
A,S,0.9251561
A,S,0.95398766
A,S,0.52222645
A,S,0.81953543
A,S,0.711101
A,S,0.73554915
A,S,0.8589711
B,Q,0.99930763
B,Q,0.54931545
B,O,0.67084503
B,Q,0.8835789
B,Q,0.9899305
B,Q,0.840276
B,O,0.6804046
B,Q,0.72812915
B,Q,0.5675665
B,Q,0.6824217
B,O,0.74662
B,Q,0.9238858
B,Q,0.3869486
B,Q,0.98328835
B,Q,0.988837
B,I,0.4742495
B,O,0.923307
B,Y,0.48176214
B,Y,0.6716869
B,Q,0.98049426
B,Q,0.9592562
B,Q,0.99315745
B,Y,0.43966335
B,Q,0.99871063
B,I,0.4109731
B,Y,0.495284
B,O,0.78086233
B,Q,0.7794886
B,O,0.4388932
B,O,0.8323566
B,Q,0.8029576
B,S,0.69961023
B,O,0.52592427
B,Q,0.9307048
B,O,0.5207223
B,Q,0.8595033
B,Q,0.7485999
B,Q,0.89441305
B,Q,0.99664813
B,Y,0.9080484
B,Q,0.80565685
B,A,0.62249166
B,I,0.5422691
B,O,0.7875033
B,Q,0.8568628
B,Q,0.8719653
B,Q,0.46572727
B,Q,0.96511716
B,O,0.8524658
B,Q,0.54569286
B,Q,0.9842817
B,O,0.83494467
B,Q,0.9035547
B,Q,0.3993643
B,Q,0.8941923
B,O,0.4813261
B,Q,0.9993529
B,Q,0.6088867
B,Q,0.86003846
B,Q,0.8025748
B,Y,0.8649207
B,Q,0.993186
B,Q,0.9973611
B,O,0.7915992
B,Q,0.51650906
B,Q,0.40982035
B,Q,0.55773723
B,O,0.7221066
B,I,0.5825274
B,Q,0.9991903
B,Q,0.994574
B,Q,0.6414381
B,Q,0.76369077
B,Q,0.90457803
B,Q,0.8954283
B,Q,0.89072156
B,Q,0.68452346
B,O,0.7860158
B,S,0.861918
B,S,0.5451178
B,O,0.9496442
B,Q,0.99432904
B,Q,0.5976307
B,Q,0.94766647
B,Q,0.72633344
B,Q,0.7784876
B,S,0.7708993
B,Q,0.9526016
B,Q,0.78459436
B,Q,0.86332184
B,Y,0.7740633
B,Q,0.4497811
B,I,0.4289094
B,Y,0.6076099
B,Q,0.54893214
B,S,0.66343504
B,Q,0.9245739
B,Q,0.48062226
B,Q,0.79988235
B,Q,0.64351064
B,Q,0.4933383
B,O,0.80594444
B,Q,0.48617762
B,Q,0.7087995
B,Y,0.58686286
B,Y,0.35889328
B,Q,0.34725976
B,Y,0.585739
B,Q,0.7728292
B,Y,0.39811116
B,Y,0.5364557
B,Q,0.991975
B,O,0.99432313
B,S,0.6635308
B,O,0.5258447
B,Y,0.4986543
B,O,0.7559945
B,Q,0.97608954
B,Q,0.8281523
B,Q,0.9335781
B,S,0.36719048
B,Q,0.92157763
B,Q,0.42649573
B,O,0.7765862
B,Y,0.8286708
B,Q,0.6628277
B,Q,0.98967385
B,Y,0.54799694
B,Q,0.9936069
B,Q,0.57205653
B,S,0.9368644
B,S,0.5690968
B,Q,0.6434417
B,O,0.6153065
B,Q,0.5663552
B,H,0.7353032
B,Q,0.96517724
B,S,0.47159657
B,Y,0.4204833
B,Q,0.9214022
B,Q,0.98258305
B,S,0.7872649
B,S,0.5665185
B,Q,0.9923928
B,Y,0.46302247
B,O,0.82616615
B,Q,0.8894642
B,Q,0.78225493
B,I,0.52816033
B,Q,0.99688345
B,Q,0.69419867
B,O,0.5497362
B,Q,0.9798621
B,O,0.99829525
B,Q,0.9982079
B,Q,0.9824008
B,S,0.6054107
B,Y,0.8073721
B,O,0.9980135
B,Q,0.99088556
B,Q,0.99397403
B,Q,0.94230753
B,O,0.8411257
B,Q,0.9992459
B,Q,0.9939189
B,I,0.60482854
B,Q,0.79362327
B,Q,0.9799968
B,O,0.9661384
B,O,0.9542758
B,Q,0.99073327
B,O,0.7114729
B,Q,0.76168644
B,Q,0.9453747
B,Q,0.90963596
B,Q,0.9971603
B,Q,0.9171381
B,Q,0.59928393
B,Q,0.99849737
B,Q,0.9882465
B,Q,0.71942073
B,O,0.99939203
B,S,0.47513133
B,Q,0.51241744
B,Q,0.838047
B,O,0.99274653
B,Q,0.73759854
B,Q,0.6499576
B,Q,0.5903299
B,Q,0.88858294
B,Q,0.9868634
B,O,0.8262963
B,Q,0.92183936
B,I,0.5343893
B,O,0.78577286
B,Y,0.5083274
B,Q,0.9361313
B,Q,0.99899787
B,O,0.8942028
B,Q,0.9964701
B,Q,0.6377952
B,Q,0.4957141
B,S,0.41832653
B,Q,0.6335729
B,Q,0.83195794
B,Q,0.82195395
B,Q,0.9800593
B,Q,0.96037996
B,Q,0.9458721
B,O,0.9494027
B,S,0.6821878
B,O,0.6935552
B,O,0.5398385
B,I,0.7019955
B,Q,0.54239976
B,S,0.8600942
B,Q,0.9813913
B,Q,0.9019766
B,S,0.5593506
B,Y,0.65256345
B,O,0.92099273
B,O,0.75004995
B,Y,0.5277339
B,Q,0.5430109
B,Q,0.90785724
B,Q,0.91042614
B,S,0.45643604
B,I,0.4333665
B,S,0.5816341
B,O,0.99914515
B,Y,0.77534413
B,I,0.71500874
B,Y,0.4251517
B,Q,0.9530775
B,S,0.9503138
B,Q,0.6711503
B,O,0.9949845
B,Q,0.979938
B,Q,0.46278897
B,S,0.5834043
B,Q,0.83136714
B,Q,0.60971135
B,Q,0.6914718
B,I,0.39593047
B,Q,0.99011594
B,I,0.44450653
B,Q,0.6558575
B,Q,0.98359364
B,Q,0.8695403
B,Q,0.98848444
B,O,0.8584407
B,S,0.4783475
B,O,0.9746104
B,Q,0.9731487
B,O,0.7379847
B,Q,0.67113674
B,Q,0.9889677
B,O,0.48997837
B,Q,0.9499594
B,Q,0.95142674
B,Q,0.999445
B,Q,0.8743641
B,O,0.7395383
B,Q,0.9972727
B,O,0.9136614
B,Q,0.81285936
B,O,0.7805461
B,O,0.8883925
B,O,0.936815
B,O,0.9366215
B,Q,0.8986732
B,Y,0.95649177
B,Q,0.8683608
B,Q,0.9895197
B,Q,0.35708225
B,I,0.63040775
B,Q,0.99484384
B,O,0.864946
B,Q,0.74042654
B,Y,0.6960516
B,Q,0.96984947
B,Q,0.7159448
B,Y,0.4672063
B,Q,0.9458985
B,O,0.879844
B,O,0.9465027
B,Y,0.9493595
B,S,0.7435509
B,Q,0.99550617
B,Q,0.99634594
B,Q,0.9869043
B,Q,0.95644546
B,Q,0.72675335
B,Q,0.99757725
B,O,0.9700983
B,Q,0.6569864
B,Q,0.8885887
B,Q,0.89191484
B,Q,0.9454434
B,Q,0.5856251
B,O,0.5079904
B,Y,0.50707555
B,Y,0.55956686
B,Q,0.9585589
B,Q,0.996192
B,Q,0.3877897
B,Q,0.9973779
B,Q,0.9968389
B,O,0.9935828
B,Q,0.9097402
B,Q,0.9081744
B,Q,0.8891957
B,Q,0.8976947
B,O,0.9998185
B,Q,0.9802085
B,Q,0.99653107
B,Q,0.9394929
B,Q,0.7715131
B,Y,0.58018625
B,O,0.91051805
B,H,0.99028474
B,Q,0.9323539
B,Y,0.75119483
B,Y,0.5138734
B,O,0.7863152
B,Q,0.94639087
B,Q,0.9218081
B,Q,0.9174262
B,Q,0.9983492
B,Q,0.83280027
B,O,0.42975342
B,O,0.5024854
B,O,0.5568567
B,O,0.96297276
B,Q,0.52374333
B,Q,0.99870265
B,Q,0.97646296
B,Q,0.9779781
B,Q,0.91634583
B,Q,0.9194137
B,Q,0.72004676
B,O,0.5439908
B,S,0.8273759
B,Q,0.9966221
B,S,0.9888552
B,Q,0.92335165
B,O,0.90937066
B,Y,0.7947154
B,Q,0.8677849
B,O,0.42237544
B,Q,0.96003455
B,Q,0.99682224
B,Q,0.89968944
B,Q,0.92234015
B,I,0.41254607
B,O,0.96913725
B,S,0.75813764
B,Q,0.54119855
B,Q,0.97132033
B,Q,0.95427173
B,S,0.607295
B,Q,0.65880615
B,Q,0.992611
B,Q,0.72935027
B,Q,0.92368245
